"","STATE","COUNTY","CTYNAME","STNAME","pop09","pop19","pop29","pop39","pop49","pop59","pop69","pop79","pop89"
"1","01","001","Autauga County","Alabama",6742,7510,6977,7194,7481,7671,6053,4126,2115
"2","01","003","Baldwin County","Alabama",25105,27163,23709,25997,27696,30586,31029,22206,9743
"3","01","005","Barbour County","Alabama",2717,2878,3272,3214,2991,3213,3041,2304,1056
"4","01","007","Bibb County","Alabama",2444,2548,3059,3141,3033,3046,2546,1742,835
"5","01","009","Blount County","Alabama",7077,7445,6783,6883,7336,7828,6971,5087,2416
"6","01","011","Bullock County","Alabama",1178,1137,1363,1445,1279,1293,1261,723,422
"7","01","013","Butler County","Alabama",2280,2412,2233,2327,2293,2433,2684,1696,1090
"8","01","015","Calhoun County","Alabama",13000,14548,15103,13931,13544,15061,14667,9292,4459
"9","01","017","Chambers County","Alabama",3817,3775,4254,3648,4004,4654,4506,3085,1511
"10","01","019","Cherokee County","Alabama",2537,2962,2820,2567,3144,3810,4036,2984,1336
"11","01","021","Chilton County","Alabama",5695,5877,5491,5285,5647,5921,5409,3455,1648
"12","01","023","Choctaw County","Alabama",1292,1446,1379,1239,1443,1851,1825,1389,725
"13","01","025","Clarke County","Alabama",2691,2893,2934,2507,2804,3298,3025,2251,1219
"14","01","027","Clay County","Alabama",1438,1518,1516,1470,1592,1974,1787,1241,699
"15","01","029","Cleburne County","Alabama",1832,1840,1667,1679,1888,2104,1807,1434,659
"16","01","031","Coffee County","Alabama",6621,6951,6328,6712,6808,6626,6061,4129,2106
"17","01","033","Colbert County","Alabama",6335,6351,6892,6609,6605,7523,7275,4973,2678
"18","01","035","Conecuh County","Alabama",1360,1368,1332,1254,1320,1672,1719,1350,692
"19","01","037","Coosa County","Alabama",927,995,1124,1017,1346,1715,1776,1187,576
"20","01","039","Covington County","Alabama",4490,4381,4158,4123,4216,5010,5031,3624,2016
"21","01","041","Crenshaw County","Alabama",1678,1748,1617,1537,1664,1863,1827,1227,611
"22","01","043","Cullman County","Alabama",10391,10213,10236,10094,10340,11167,10523,7363,3441
"23","01","045","Dale County","Alabama",6406,5915,6937,6481,5624,6122,5835,3867,1985
"24","01","047","Dallas County","Alabama",4515,5178,4513,4108,4121,4969,5071,3121,1600
"25","01","049","DeKalb County","Alabama",8925,9918,8751,8096,9280,9369,8545,5908,2721
"26","01","051","Elmore County","Alabama",9707,10283,10628,10918,10742,11015,9441,5917,2558
"27","01","053","Escambia County","Alabama",4516,4473,4718,4570,4630,4760,4331,3077,1558
"28","01","055","Etowah County","Alabama",11900,12205,12803,11876,13021,13662,13419,9057,4325
"29","01","057","Fayette County","Alabama",1858,1909,1909,1762,1966,2199,2273,1631,795
"30","01","059","Franklin County","Alabama",4294,4194,3809,3758,4052,3961,3616,2398,1280
"31","01","061","Geneva County","Alabama",2991,3341,2748,2989,3207,3644,3582,2508,1261
"32","01","063","Greene County","Alabama",946,981,967,852,810,1030,1288,782,455
"33","01","065","Hale County","Alabama",1896,1819,1833,1651,1566,1963,1955,1269,699
"34","01","067","Henry County","Alabama",1821,2022,1774,1902,2167,2248,2527,1830,914
"35","01","069","Houston County","Alabama",13199,13421,12942,13410,13053,13841,12873,8670,4473
"36","01","071","Jackson County","Alabama",5593,6182,5943,5654,6636,7137,7266,4898,2317
"37","01","073","Jefferson County","Alabama",83821,82597,90697,90360,79844,81453,79054,45115,25632
"38","01","075","Lamar County","Alabama",1538,1685,1477,1449,1731,1853,1855,1408,809
"39","01","077","Lauderdale County","Alabama",9536,11361,13710,10265,10354,12076,12230,8718,4479
"40","01","079","Lawrence County","Alabama",3730,4053,3810,3733,4030,5008,4234,3005,1321
"41","01","081","Lee County","Alabama",19091,23261,33905,21002,19357,18886,15655,9276,4109
"42","01","083","Limestone County","Alabama",11486,12804,11831,13356,13672,14457,11165,6972,3172
"43","01","085","Lowndes County","Alabama",1214,1141,1168,1117,1026,1418,1304,880,458
"44","01","087","Macon County","Alabama",1705,2397,3293,1661,1737,2252,2540,1656,827
"45","01","089","Madison County","Alabama",43878,47156,52323,49687,44558,53930,42512,25181,13684
"46","01","091","Marengo County","Alabama",2269,2410,2306,2093,2230,2462,2479,1692,922
"47","01","093","Marion County","Alabama",3253,3548,3352,3298,3648,4231,3813,2897,1669
