state,county_state,pop09,pop1049,pop59,pop69,pop79,pop89
Alabama,Alabama 01001,6742,14252,7671,6053,4126,2115
Alabama,Alabama 01003,25105,52268,30586,31029,22206,9743
Alabama,Alabama 01005,2717,5595,3213,3041,2304,1056
Alabama,Alabama 01007,2444,4992,3046,2546,1742,835
Alabama,Alabama 01009,7077,14522,7828,6971,5087,2416
Alabama,Alabama 01011,1178,2315,1293,1261,723,422
Alabama,Alabama 01013,2280,4692,2433,2684,1696,1090
Alabama,Alabama 01015,13000,27548,15061,14667,9292,4459
Alabama,Alabama 01017,3817,7592,4654,4506,3085,1511
Alabama,Alabama 01019,2537,5499,3810,4036,2984,1336
Alabama,Alabama 01021,5695,11572,5921,5409,3455,1648
Alabama,Alabama 01023,1292,2738,1851,1825,1389,725
Alabama,Alabama 01025,2691,5584,3298,3025,2251,1219
Alabama,Alabama 01027,1438,2956,1974,1787,1241,699
Alabama,Alabama 01029,1832,3672,2104,1807,1434,659
Alabama,Alabama 01031,6621,13572,6626,6061,4129,2106
Alabama,Alabama 01033,6335,12686,7523,7275,4973,2678
Alabama,Alabama 01035,1360,2728,1672,1719,1350,692
Alabama,Alabama 01037,927,1922,1715,1776,1187,576
Alabama,Alabama 01039,4490,8871,5010,5031,3624,2016
Alabama,Alabama 01041,1678,3426,1863,1827,1227,611
Alabama,Alabama 01043,10391,20604,11167,10523,7363,3441
Alabama,Alabama 01045,6406,12321,6122,5835,3867,1985
Alabama,Alabama 01047,4515,9693,4969,5071,3121,1600
Alabama,Alabama 01049,8925,18843,9369,8545,5908,2721
Alabama,Alabama 01051,9707,19990,11015,9441,5917,2558
Alabama,Alabama 01053,4516,8989,4760,4331,3077,1558
Alabama,Alabama 01055,11900,24105,13662,13419,9057,4325
Alabama,Alabama 01057,1858,3767,2199,2273,1631,795
Alabama,Alabama 01059,4294,8488,3961,3616,2398,1280
Alabama,Alabama 01061,2991,6332,3644,3582,2508,1261
Alabama,Alabama 01063,946,1927,1030,1288,782,455
Alabama,Alabama 01065,1896,3715,1963,1955,1269,699
Alabama,Alabama 01067,1821,3843,2248,2527,1830,914
Alabama,Alabama 01069,13199,26620,13841,12873,8670,4473
Alabama,Alabama 01071,5593,11775,7137,7266,4898,2317
Alabama,Alabama 01073,83821,166418,81453,79054,45115,25632
Alabama,Alabama 01075,1538,3223,1853,1855,1408,809
Alabama,Alabama 01077,9536,20897,12076,12230,8718,4479
Alabama,Alabama 01079,3730,7783,5008,4234,3005,1321
Alabama,Alabama 01081,19091,42352,18886,15655,9276,4109
Alabama,Alabama 01083,11486,24290,14457,11165,6972,3172
Alabama,Alabama 01085,1214,2355,1418,1304,880,458
Alabama,Alabama 01087,1705,4102,2252,2540,1656,827
Alabama,Alabama 01089,43878,91034,53930,42512,25181,13684
Alabama,Alabama 01091,2269,4679,2462,2479,1692,922
Alabama,Alabama 01093,3253,6801,4231,3813,2897,1669
Alabama,Alabama 01095,13450,26498,12577,11266,7741,3810
Alabama,Alabama 01097,53474,106527,52537,49709,30699,15377
Alabama,Alabama 01099,2211,4866,2865,2948,1929,1075
Alabama,Alabama 01101,29988,59380,27574,25887,15047,8266
Alabama,Alabama 01103,14650,29904,16901,14740,9711,4832
Alabama,Alabama 01105,1005,2371,1022,1119,790,502
Alabama,Alabama 01107,2064,4333,2825,2544,1710,964
Alabama,Alabama 01109,3503,8173,3532,3356,2316,1231
Alabama,Alabama 01111,2596,5419,3295,3129,2194,1078
Alabama,Alabama 01113,7944,15282,7581,6490,3840,1850
Alabama,Alabama 01115,10840,21939,12479,10872,7060,3057
Alabama,Alabama 01117,25999,55803,29394,25414,15464,7408
Alabama,Alabama 01119,1326,2978,1458,1628,897,646
Alabama,Alabama 01121,8690,18692,10897,10473,6806,3108
Alabama,Alabama 01123,4504,9038,5806,6116,4171,1898
Alabama,Alabama 01125,24896,53864,23142,22108,12254,6263
Alabama,Alabama 01127,7803,15450,8660,8442,5781,2697
Alabama,Alabama 01129,1818,3969,2356,2185,1473,717
Alabama,Alabama 01131,1303,2729,1296,1380,924,502
Alabama,Alabama 01133,2526,5275,3523,3267,2405,1219
Alaska,Alaska 02013,148,284,662,319,183,59
Alaska,Alaska 02016,370,732,1100,664,147,33
Alaska,Alaska 02020,39537,75780,35127,29417,14678,6245
Alaska,Alaska 02050,3902,7113,1949,1478,631,185
Alaska,Alaska 02060,104,168,136,121,51,30
Alaska,Alaska 02068,222,436,341,268,90,16
Alaska,Alaska 02070,951,1677,604,505,196,86
Alaska,Alaska 02090,13797,25353,10263,9531,4814,1596
Alaska,Alaska 02100,223,498,407,471,254,91
Alaska,Alaska 02105,209,418,369,401,236,81
Alaska,Alaska 02110,3734,7508,4529,3989,1956,715
Alaska,Alaska 02122,7184,14362,7910,9015,4774,1684
Alaska,Alaska 02130,1631,3310,1943,1866,1045,401
Alaska,Alaska 02150,1909,3536,1607,1378,680,237
Alaska,Alaska 02158,2137,3706,794,545,204,77
Alaska,Alaska 02164,272,495,207,172,76,34
Alaska,Alaska 02170,15492,31101,13627,12647,6006,2079
Alaska,Alaska 02180,2053,3736,1065,814,346,118
Alaska,Alaska 02185,1570,2841,1672,862,294,110
Alaska,Alaska 02188,1662,2964,837,518,245,137
Alaska,Alaska 02195,394,731,452,510,295,116
Alaska,Alaska 02198,725,1527,931,1016,498,132
Alaska,Alaska 02220,906,1951,1084,1139,566,305
Alaska,Alaska 02230,121,192,151,160,86,30
Alaska,Alaska 02240,1029,1861,939,889,491,168
Alaska,Alaska 02261,1209,2342,1304,1366,615,163
Alaska,Alaska 02275,271,533,355,485,263,129
Alaska,Alaska 02282,65,110,86,87,53,30
Alaska,Alaska 02290,849,1587,598,745,344,123
Arizona,Arizona 04001,10223,21424,8845,8335,5011,2539
Arizona,Arizona 04003,14695,30143,14896,17314,13598,6810
Arizona,Arizona 04005,15589,38457,15117,15116,8206,3541
Arizona,Arizona 04007,5934,11635,6754,9369,7618,3542
Arizona,Arizona 04009,5612,11562,3883,3694,2422,1326
Arizona,Arizona 04011,1446,2793,1058,931,518,357
Arizona,Arizona 04012,1880,3826,2178,2974,4219,2558
Arizona,Arizona 04013,566323,1172216,544401,464292,317462,163016
Arizona,Arizona 04015,18652,38950,28033,37432,31966,15106
Arizona,Arizona 04017,15621,31876,13310,14412,9692,4264
Arizona,Arizona 04019,116668,247305,119051,129645,97101,51767
Arizona,Arizona 04021,54419,112806,50685,57105,48439,19284
Arizona,Arizona 04023,6635,13768,5380,5430,4070,1945
Arizona,Arizona 04025,19666,42123,30669,46266,36160,16273
Arizona,Arizona 04027,30117,59714,21218,20247,19385,11939
Arkansas,Arkansas 05001,2272,4352,2319,2375,1517,886
Arkansas,Arkansas 05003,2354,4789,2720,2542,1962,936
Arkansas,Arkansas 05005,3856,8144,5587,6793,6174,3466
Arkansas,Arkansas 05007,39530,79109,32093,26241,17159,8788
Arkansas,Arkansas 05009,4622,9277,4988,4703,3646,1935
Arkansas,Arkansas 05011,1382,2826,1402,1334,907,531
Arkansas,Arkansas 05013,537,1085,804,761,500,269
Arkansas,Arkansas 05015,3236,6705,3705,4316,3192,1387
Arkansas,Arkansas 05017,1168,2428,1356,1486,872,582
Arkansas,Arkansas 05019,2337,5864,2360,2399,1682,956
Arkansas,Arkansas 05021,1675,3403,2011,1889,1500,796
Arkansas,Arkansas 05023,2379,5136,3518,3783,3203,1763
Arkansas,Arkansas 05025,832,1891,1138,1071,768,420
Arkansas,Arkansas 05027,2666,6342,2727,2660,1758,1138
Arkansas,Arkansas 05029,2596,5153,2908,2765,1832,1062
Arkansas,Arkansas 05031,15331,31253,12291,10763,6752,3738
Arkansas,Arkansas 05033,8169,16833,8356,7517,5022,2461
Arkansas,Arkansas 05035,7153,14190,6009,5257,3114,1495
Arkansas,Arkansas 05037,2059,4163,2173,1993,1512,730
Arkansas,Arkansas 05039,733,1595,913,1066,746,445
Arkansas,Arkansas 05041,1522,3137,1408,1577,986,524
Arkansas,Arkansas 05043,2173,4653,2240,2064,1419,893
Arkansas,Arkansas 05045,15521,32979,14393,12033,7371,3429
Arkansas,Arkansas 05047,2019,4394,2394,2282,1540,925
Arkansas,Arkansas 05049,1378,2874,1693,1931,1503,801
Arkansas,Arkansas 05051,10741,21880,12939,14639,11005,5796
Arkansas,Arkansas 05053,2079,4426,2543,2208,1589,776
Arkansas,Arkansas 05055,5975,12038,5814,4917,3378,1681
Arkansas,Arkansas 05057,3115,6020,2807,2632,1811,1003
Arkansas,Arkansas 05059,3533,7639,4565,4422,2988,1434
Arkansas,Arkansas 05061,1922,3743,1730,1518,1077,610
Arkansas,Arkansas 05063,5016,10258,4737,4510,2972,1744
Arkansas,Arkansas 05065,1261,2678,1894,1984,1616,976
Arkansas,Arkansas 05067,1861,3679,2177,2051,1419,688
Arkansas,Arkansas 05069,7924,16621,8612,8630,5223,2772
