,state,num_locations,vac_distributions,total_deaths
0,Alabama,2.0,1334855.8036320633,4761.463911169398
1,Alaska,1.0,586921.2555689078,27.501096093358754
2,Arizona,2.0,2589723.1964863637,9590.373023026292
3,Arkansas,1.0,1018593.2775509985,2275.359031748036
4,California,8.0,4754554.44682634,26591.49830751307
5,Colorado,1.0,1316715.0,1267.2340832200266
6,Connecticut,1.0,836187.3038688586,1963.7454427779537
7,Delaware,1.0,588000.0,160.922516276186
8,District of Columbia,1.0,595722.8074988568,173.55054721973357
9,Florida,6.0,7719370.896777291,6060.400900275468
10,Georgia,2.0,1307499.8849424697,4796.47531740011
11,Hawaii,1.0,587333.3333333333,45.11698817495366
12,Idaho,1.0,598807.2392666666,156.0021507329109
13,Illinois,2.0,1188353.0945132852,2777.0460506181316
14,Indiana,2.0,1602211.5438006904,2546.822152390176
15,Iowa,2.0,1524367.3030096225,1744.308864919928
16,Kansas,1.0,601336.3593333333,889.1008247019494
17,Kentucky,1.0,594460.8796463769,1573.842640268056
18,Louisiana,2.0,2348232.2899130937,3064.9709351585834
19,Maine,1.0,587333.3333333333,134.63474597094734
20,Maryland,1.0,1306183.0649999857,1807.7871308942163
21,Massachusetts,1.0,1309679.8636363638,4613.561841545815
22,Michigan,2.0,1193151.7333333334,3255.489240905903
23,Minnesota,1.0,594034.0,747.3670813144658
24,Mississippi,1.0,910042.5671971225,938.3190335022006
25,Missouri,2.0,1824451.7782764048,2083.518132566924
26,Montana,1.0,593572.0141414141,93.14580775401923
27,Nebraska,1.0,592414.7474747475,162.74460040689283
28,Nevada,2.0,1224754.2236346384,2057.8682509557734
29,New Hampshire,1.0,653373.8929685398,286.0886785232724
30,New Jersey,2.0,2630879.8636363638,5418.376695442676
31,New Mexico,1.0,692748.5738851505,1321.4001256250106
32,New York,6.0,7342316.413113689,17051.964021139996
33,North Carolina,2.0,1214176.838708623,2710.9063479099277
34,North Dakota,1.0,587333.3333333333,98.0498270470201
35,Ohio,3.0,1774153.333333333,2497.1744697537806
36,Oklahoma,2.0,1591087.4571150164,2214.32914396936
37,Oregon,2.0,1898987.5659325381,471.6614210106448
38,Pennsylvania,2.0,1186219.862378369,9041.66837251656
39,Rhode Island,1.0,628523.8929685398,614.5117087486656
40,South Carolina,1.0,1312189.2272727273,1426.7610645884597
41,South Dakota,1.0,622026.2822653939,221.03427861868215
42,Tennessee,3.0,1770776.228282828,3820.9732456444735
43,Texas,10.0,13110612.97946281,15558.893981840567
44,Utah,1.0,1121989.170738053,1022.162820742619
45,Vermont,1.0,701989.3873445715,243.15539590549753
46,Virginia,3.0,2509645.517249372,1306.8004127357801
47,Washington,2.0,2262988.6174696824,1760.8050626551121
48,West Virginia,1.0,772751.7186105134,581.5190352651441
49,Wisconsin,2.0,1198366.6019347473,1529.059089843322
50,Wyoming,1.0,588000.0,435.20354619718825
