fips,indicator
New York 36047,1
California 06037,1
Illinois 17031,1
Texas 48201,1
Pennsylvania 42101,1
Arizona 04013,1
Texas 48029,1
California 06073,1
Texas 48113,1
Hawaii 15003,1
California 06085,1
Florida 12031,1
Indiana 18097,1
California 06075,1
Texas 48453,1
Ohio 39049,1
Texas 48439,1
North Carolina 37119,1
Michigan 26163,1
Texas 48141,1
Tennessee 47157,1
Maryland 24510,1
Massachusetts 25025,1
Washington 53035,1
District of Columbia 11001,1
Tennessee 47037,1
Colorado 08031,1
Kentucky 21111,1
Wisconsin 55079,1
Oregon 41051,1
Nevada 32003,1
Oklahoma 40109,1
New Mexico 35001,1
Arizona 04023,1
California 06019,1
California 06067,1
California 06059,1
Missouri 29095,1
Arizona 04021,1
Virginia 51810,1
Georgia 13121,1
Colorado 08041,1
Nebraska 31055,1
North Carolina 37183,1
Florida 12086,1
Ohio 39035,1
Oklahoma 40143,1
California 06075,1
Minnesota 27123,1
Kansas 20173,1
Texas 48439,1
California 06029,1
Louisiana 22071,1
California 06059,1
Florida 12057,1
Colorado 08031,1
California 06059,1
Missouri 29510,1
Pennsylvania 42003,1
Texas 48355,1
California 06059,1
Ohio 39061,1
Kentucky 21067,1
Alaska 02020,1
California 06077,1
Ohio 39095,1
Minnesota 27123,1
New Jersey 34013,1
North Carolina 37081,1
New York 36029,1
Texas 48085,1
Nebraska 31109,1
Nevada 32003,1
Indiana 18003,1
New Jersey 34017,1
Florida 12103,1
California 06073,1
Virginia 51710,1
Florida 12095,1
Arizona 04013,1
Texas 48479,1
Wisconsin 55025,1
North Carolina 37067,1
Texas 48303,1
Louisiana 22033,1
North Carolina 37063,1
Texas 48397,1
Arizona 04013,1
Nevada 32029,1
Florida 12011,1
Virginia 51550,1
Arizona 04013,1
Nevada 32003,1
Texas 48113,1
California 06001,1
California 06059,1
Alabama 01073,1
New York 36055,1
California 06059,1
Washington 53063,1
Arizona 04021,0
Alabama 01101,0
Idaho 16001,0
Virginia 51760,0
Iowa 19153,0
California 06099,0
North Carolina 37051,0
Louisiana 22017,0
Ohio 39153,0
Washington 53053,0
California 06111,0
Illinois 17043,0
California 06059,0
New York 36005,0
Georgia 13245,0
Alabama 01097,0
Arkansas 05119,0
California 06059,0
California 06037,0
Texas 48375,0
California 06059,0
Georgia 13215,0
Michigan 26081,0
Utah 49035,0
Florida 12073,0
Massachusetts 25027,0
Virginia 51700,0
Alabama 01089,0
Tennessee 47093,0
Rhode Island 44007,0
California 06037,0
Texas 48113,0
Texas 48061,0
Mississippi 28049,0
Kansas 20091,0
California 06059,0
California 06097,0
Tennessee 47065,0
California 06073,0
Florida 12011,0
California 06059,0
Florida 12111,0
California 06059,0
Washington 53011,0
Arizona 04013,0
Missouri 29077,0
California 06037,0
Oregon 41039,0
Florida 12011,0
Oregon 41053,0
Florida 12071,0
Arizona 04013,0
South Dakota 46099,0
Massachusetts 25013,0
California 06067,0
Illinois 17201,0
California 06037,0
California 06059,0
California 06069,0
California 06059,0
Texas 48201,0
Illinois 17197,0
New Jersey 34031,0
Kansas 20209,0
California 06037,0
New York 36067,0
Connecticut 09001,0
California 06001,0
Colorado 08069,0
California 06073,0
Colorado 08059,0
Illinois 17043,0
Ohio 39113,0
Florida 12011,0
California 06081,0
Virginia 51510,0
Texas 48113,0
Virginia 51650,0
California 06037,0
California 06059,0
Georgia 13051,0
North Carolina 37183,0
California 06059,0
Michigan 26099,0
Tennessee 47125,0
Texas 48085,0
Texas 48215,0
Connecticut 09009,0
Michigan 26099,0
Utah 49035,0
South Carolina 45079,0
Texas 48027,0
Kansas 20177,0
California 06111,0
Iowa 19113,0
Kansas 20091,0
New Jersey 34039,0
Texas 48309,0
Connecticut 09003,0
California 06107,0
Florida 12001,0
California 06111,0
Connecticut 09001,0
Washington 53033,0
California 06013,0
Florida 12011,0
Florida 12011,0
Louisiana 22055,0
South Carolina 45019,0
Texas 48113,0
California 06067,0
Colorado 08014,0
Texas 48245,0
Pennsylvania 42077,0
Arizona 04013,0
Indiana 18163,0
Texas 48441,0
Texas 48085,0
Missouri 29095,0
California 06085,0
Illinois 17167,0
California 06095,0
California 06037,0
Georgia 13059,0
Illinois 17143,0
Michigan 26065,0
Michigan 26161,0
California 06037,0
Texas 48121,0
California 06075,0
Utah 49049,0
California 06059,0
Texas 48329,0
Oklahoma 40027,0
Connecticut 09009,0
California 06059,0
California 06037,0
New Hampshire 33011,0
Tennessee 47149,0
Missouri 29019,0
Illinois 17089,0
Florida 12103,0
Florida 12011,0
Minnesota 27109,0
Colorado 08101,0
Massachusetts 25017,0
North Carolina 37129,0
California 06111,0
Colorado 08014,0
Colorado 08014,0
California 06037,0
Oregon 41051,0
North Dakota 38017,0
California 06059,0
California 06073,0
California 06095,0
Massachusetts 25025,0
Texas 48485,0
North Carolina 37081,0
Montana 30111,0
Wisconsin 55009,0
Utah 49035,0
California 06075,0
California 06059,0
California 06037,0
Florida 12009,0
Washington 53061,0
Michigan 26049,0
California 06013,0
Pennsylvania 42049,0
Indiana 18141,0
California 06075,0
Colorado 08031,0
California 06059,0
Texas 48135,0
Florida 12099,0
Texas 48491,0
Florida 12011,0
Iowa 19163,0
California 06083,0
California 06073,0
Texas 48113,0
Wisconsin 55059,0
California 06059,0
Oklahoma 40143,0
Michigan 26163,0
New York 36001,0
New Mexico 35013,0
South Carolina 45019,0
Florida 12105,0
Colorado 08013,0
California 06081,0
Virginia 51770,0
Michigan 26163,0
Texas 48423,0
Oklahoma 40031,0
California 06037,0
California 06019,0
Virginia 51740,0
Texas 48121,0
Massachusetts 25005,0
California 06037,0
Texas 48041,0
Georgia 13121,0
California 06073,0
Massachusetts 25021,0
California 06059,0
Texas 48451,0
Arizona 04027,0
Colorado 08123,0
California 06095,0
Washington 53033,0
Massachusetts 25025,0
Florida 12011,0
California 06059,0
Oregon 41067,0
Missouri 29095,0
Georgia 13021,0
Texas 48201,0
Washington 53077,0
Washington 53033,0
Alabama 01125,0
Massachusetts 25025,0
Nevada 32029,0
California 06037,0
California 06089,0
Oregon 41067,0
Washington 53063,0
California 06037,0
California 06059,0
Washington 53053,0
Illinois 17097,0
Massachusetts 25005,0
California 06083,0
Georgia 13067,0
Utah 49049,0
Pennsylvania 42011,0
Florida 12086,0
Kansas 20045,0
New Mexico 35001,0
Utah 49035,0
New Hampshire 33011,0
Colorado 08013,0
Minnesota 27017,0
Arkansas 05131,0
California 06007,0
Connecticut 09001,0
California 06059,0
California 06059,0
Florida 12127,0
Massachusetts 25025,0
Florida 12011,0
California 06001,0
New Jersey 34021,0
Virginia 51093,0
North Carolina 37147,0
Florida 12011,0
Florida 12099,0
California 06037,0
Texas 48085,0
New Jersey 34017,0
Michigan 26163,0
Illinois 17031,0
California 06073,0
Texas 48167,0
North Carolina 37021,0
California 06067,0
California 06037,0
California 06077,0
Minnesota 27053,0
Utah 49057,0
Iowa 19149,0
Rhode Island 44001,0
Alabama 01117,0
Ohio 39035,0
Idaho 16027,0
Oklahoma 40109,0
Illinois 17019,0
Michigan 26125,0
California 06001,0
Connecticut 09001,0
Washington 53055,0
Indiana 18089,0
California 06059,0
Texas 48183,0
Indiana 18105,0
Rhode Island 44003,0
Indiana 18089,0
California 06059,0
Michigan 26125,0
Missouri 29183,0
Indiana 18057,0
North Carolina 37025,0
California 06047,0
Wisconsin 55101,0
Texas 48157,0
California 06059,0
California 06059,0
Florida 12103,0
California 06059,0
Georgia 13095,0
New Jersey 34007,0
California 06059,0
Texas 48215,0
New York 36005,0
Texas 48215,0
California 06055,0
California 06081,0
Indiana 18057,0
Missouri 29021,0
Georgia 13135,0
Oregon 41017,0
California 06059,0
Illinois 17113,0
Massachusetts 25009,0
Arizona 04013,0
Texas 48041,0
Illinois 17115,0
Pennsylvania 42069,0
Florida 12009,0
California 06065,0
Minnesota 27053,0
Massachusetts 25025,0
Virginia 51680,0
California 06059,0
California 06037,0
Florida 12035,0
Illinois 17097,0
Idaho 16001,0
Florida 12011,0
Pennsylvania 42095,0
Oregon 41029,0
California 06059,0
Illinois 17031,0
Michigan 26077,0
Illinois 17043,0
California 06081,0
Washington 53005,0
California 06075,0
California 06059,0
Arkansas 05143,0
Illinois 17043,0
Connecticut 09003,0
Ohio 39151,0
Utah 49053,0
Wisconsin 55087,0
California 06067,0
California 06001,0
Michigan 26081,0
Louisiana 22019,0
Texas 48071,0
North Carolina 37071,0
Michigan 26163,0
Rhode Island 44007,0
Michigan 26099,0
Delaware 10003,0
Wisconsin 55133,0
Minnesota 27053,0
Texas 48215,0
California 06001,0
Washington 53053,0
North Carolina 37133,0
Indiana 18035,0
Arkansas 05007,0
New Jersey 34017,0
California 06037,0
California 06001,0
California 06037,0
California 06059,0
Illinois 17097,0
California 06099,0
Iowa 19013,0
California 06059,0
Florida 12099,0
South Dakota 46103,0
New Mexico 35049,0
Iowa 19103,0
South Carolina 45019,0
Mississippi 28047,0
Texas 48157,0
Utah 49011,0
New York 36005,0
Arkansas 05031,0
Indiana 18157,0
California 06077,0
Ohio 39099,0
Florida 12011,0
Colorado 08069,0
California 06001,0
Montana 30063,0
California 06037,0
Louisiana 22089,0
Georgia 13153,0
New Jersey 34017,0
Maine 23005,0
South Carolina 45091,0
New York 36093,0
Wyoming 56021,0
West Virginia 54039,0
Vermont 50007,0
