,state,city,county,city_geolocation,county_geolocation,city_pop
0,NY,New York,Kings,"(40.694960689, -73.9313850409)","(40.6447, -73.9472)",8175133
1,CA,Los Angeles,Los Angeles,"(34.1182277898, -118.408500088)","(34.3203, -118.2252)",3792621
2,IL,Chicago,Cook,"(41.8372950615, -87.6862308732)","(41.8399, -87.8167)",2695598
3,TX,Houston,Harris,"(29.7806691396, -95.3860033966)","(29.8588, -95.3963)",2099451
4,PA,Philadelphia,Philadelphia,"(40.0093147808, -75.1333888571)","(40.0076, -75.1338)",1526006
5,AZ,Phoenix,Maricopa,"(33.5724138695, -112.088995222)","(33.3488, -112.4912)",1445632
6,TX,San Antonio,Bexar,"(29.4721475333, -98.5246763525)","(29.4491, -98.5199)",1327407
7,CA,San Diego,San Diego,"(32.8355639418, -117.119792061)","(33.0354, -116.7335)",1307402
8,HI,Honolulu,Oahu in Honolulu,"(21.4588039305, -157.973296737)","(21.4625, -157.9765)",953207
9,CA,San Jose,Santa Clara,"(37.3003963176, -121.847228423)","(37.2325, -121.6963)",945942
10,FL,Jacksonville,Duval,"(30.3319820139, -81.6752266207)","(30.3302, -81.674)",821784
11,IN,Indianapolis,Marion,"(39.7771221075, -86.145782152)","(39.7816, -86.1384)",820445
12,CA,San Francisco,San Francisco,"(37.7559136611, -122.440987876)","(37.7558, -122.4424)",805235
13,TX,Austin,Travis,"(30.3068610342, -97.7554771245)","(30.3347, -97.7819)",790390
14,OH,Columbus,Franklin,"(39.9859500484, -82.9851738516)","(39.9696, -83.0093)",787033
15,NC,Charlotte,Mecklenburg,"(35.2078721969, -80.8300754645)","(35.2468, -80.8328)",731424
16,MI,Detroit,Wayne,"(42.3847015631, -83.1053178776)","(42.284, -83.2865)",713777
17,TX,El Paso,El Paso,"(31.8481123506, -106.432021874)","(31.7686, -106.2348)",649121
18,TN,Memphis,Shelby,"(35.1046295042, -89.978906085)","(35.1837, -89.8956)",646889
19,MD,Baltimore,Baltimore City,"(39.3084523991, -76.6160492311)","(39.3087, -76.6163)",620961
20,MA,Boston,Suffolk,"(42.3155796777, -71.0916505804)","(42.3308, -71.0818)",617594
21,WA,Seattle,Kitsap,"(47.622154338, -122.323532482)","(47.611, -122.6767)",608660
22,DC,Washington,District of Columbia,"(38.9099241426, -77.0147205666)","(38.9093, -77.0146)",601723
23,CO,Denver,Denver,"(39.7620283743, -104.876365322)","(39.7611, -104.8772)",600158
24,KY,Louisville,Jefferson,"(38.1777689918, -85.6664099974)","(38.1872, -85.6595)",597337
25,WI,Milwaukee,Milwaukee,"(43.0641258925, -87.9672412429)","(43.0071, -87.9667)",594833
26,OR,Portland,Multnomah,"(45.537180654, -122.650032751)","(45.5469, -122.4157)",583776
27,NV,Las Vegas,Clark,"(36.2274148438, -115.262670095)","(36.2145, -115.0187)",583756
