,state,city,fips,city_geolocation,county_geolocation,city_pop
0,NY,New York,NY 36047,"(40.694960689, -73.9313850409)","(40.6447, -73.9472)",8175133
1,CA,Los Angeles,CA 06037,"(34.1182277898, -118.408500088)","(34.3203, -118.2252)",3792621
2,IL,Chicago,IL 17031,"(41.8372950615, -87.6862308732)","(41.8399, -87.8167)",2695598
3,TX,Houston,TX 48201,"(29.7806691396, -95.3860033966)","(29.8588, -95.3963)",2099451
4,PA,Philadelphia,PA 42101,"(40.0093147808, -75.1333888571)","(40.0076, -75.1338)",1526006
5,AZ,Phoenix,AZ 04013,"(33.5724138695, -112.088995222)","(33.3488, -112.4912)",1445632
6,TX,San Antonio,TX 48029,"(29.4721475333, -98.5246763525)","(29.4491, -98.5199)",1327407
7,CA,San Diego,CA 06073,"(32.8355639418, -117.119792061)","(33.0354, -116.7335)",1307402
8,TX,Dallas,TX 48113,"(32.7939804066, -96.7656929463)","(32.7666, -96.7779)",1197816
9,HI,Honolulu,HI 15003,"(21.4588039305, -157.973296737)","(21.4625, -157.9765)",953207
10,CA,San Jose,CA 06085,"(37.3003963176, -121.847228423)","(37.2325, -121.6963)",945942
11,FL,Jacksonville,FL 12031,"(30.3319820139, -81.6752266207)","(30.3302, -81.674)",821784
12,IN,Indianapolis,IN 18097,"(39.7771221075, -86.145782152)","(39.7816, -86.1384)",820445
13,CA,San Francisco,CA 06075,"(37.7559136611, -122.440987876)","(37.7558, -122.4424)",805235
14,TX,Austin,TX 48453,"(30.3068610342, -97.7554771245)","(30.3347, -97.7819)",790390
15,OH,Columbus,OH 39049,"(39.9859500484, -82.9851738516)","(39.9696, -83.0093)",787033
16,TX,Fort Worth,TX 48439,"(32.780192804, -97.3470323225)","(32.7704, -97.2919)",741206
17,NC,Charlotte,NC 37119,"(35.2078721969, -80.8300754645)","(35.2468, -80.8328)",731424
18,MI,Detroit,MI 26163,"(42.3847015631, -83.1053178776)","(42.284, -83.2865)",713777
19,TX,El Paso,TX 48141,"(31.8481123506, -106.432021874)","(31.7686, -106.2348)",649121
20,TN,Memphis,TN 47157,"(35.1046295042, -89.978906085)","(35.1837, -89.8956)",646889
21,MD,Baltimore,MD 24510,"(39.3084523991, -76.6160492311)","(39.3087, -76.6163)",620961
22,MA,Boston,MA 25025,"(42.3155796777, -71.0916505804)","(42.3308, -71.0818)",617594
23,WA,Seattle,WA 53035,"(47.622154338, -122.323532482)","(47.611, -122.6767)",608660
24,DC,Washington,DC 11001,"(38.9099241426, -77.0147205666)","(38.9093, -77.0146)",601723
