,state,city,fips,city_geolocation,county_geolocation,city_pop
0,New York,New York,New York 36047,"(40.694960689, -73.9313850409)","(40.6447, -73.9472)",8175133
1,California,Los Angeles,California 06037,"(34.1182277898, -118.408500088)","(34.3203, -118.2252)",3792621
2,Illinois,Chicago,Illinois 17031,"(41.8372950615, -87.6862308732)","(41.8399, -87.8167)",2695598
3,Texas,Houston,Texas 48201,"(29.7806691396, -95.3860033966)","(29.8588, -95.3963)",2099451
4,Pennsylvania,Philadelphia,Pennsylvania 42101,"(40.0093147808, -75.1333888571)","(40.0076, -75.1338)",1526006
5,Arizona,Phoenix,Arizona 04013,"(33.5724138695, -112.088995222)","(33.3488, -112.4912)",1445632
6,Texas,San Antonio,Texas 48029,"(29.4721475333, -98.5246763525)","(29.4491, -98.5199)",1327407
7,California,San Diego,California 06073,"(32.8355639418, -117.119792061)","(33.0354, -116.7335)",1307402
8,Texas,Dallas,Texas 48113,"(32.7939804066, -96.7656929463)","(32.7666, -96.7779)",1197816
9,Hawaii,Honolulu,Hawaii 15003,"(21.4588039305, -157.973296737)","(21.4625, -157.9765)",953207
10,California,San Jose,California 06085,"(37.3003963176, -121.847228423)","(37.2325, -121.6963)",945942
11,Florida,Jacksonville,Florida 12031,"(30.3319820139, -81.6752266207)","(30.3302, -81.674)",821784
12,Indiana,Indianapolis,Indiana 18097,"(39.7771221075, -86.145782152)","(39.7816, -86.1384)",820445
13,California,San Francisco,California 06075,"(37.7559136611, -122.440987876)","(37.7558, -122.4424)",805235
14,Texas,Austin,Texas 48453,"(30.3068610342, -97.7554771245)","(30.3347, -97.7819)",790390
15,Ohio,Columbus,Ohio 39049,"(39.9859500484, -82.9851738516)","(39.9696, -83.0093)",787033
16,Texas,Fort Worth,Texas 48439,"(32.780192804, -97.3470323225)","(32.7704, -97.2919)",741206
17,North Carolina,Charlotte,North Carolina 37119,"(35.2078721969, -80.8300754645)","(35.2468, -80.8328)",731424
18,Michigan,Detroit,Michigan 26163,"(42.3847015631, -83.1053178776)","(42.284, -83.2865)",713777
19,Texas,El Paso,Texas 48141,"(31.8481123506, -106.432021874)","(31.7686, -106.2348)",649121
20,Tennessee,Memphis,Tennessee 47157,"(35.1046295042, -89.978906085)","(35.1837, -89.8956)",646889
21,Maryland,Baltimore,Maryland 24510,"(39.3084523991, -76.6160492311)","(39.2531, -76.5758)",620961
22,Massachusetts,Boston,Massachusetts 25025,"(42.3155796777, -71.0916505804)","(42.3308, -71.0818)",617594
23,Washington,Seattle,Washington 53035,"(47.622154338, -122.323532482)","(47.611, -122.6767)",608660
24,District of Columbia,Washington,District of Columbia 11001,"(38.9099241426, -77.0147205666)","(38.9093, -77.0146)",601723
25,Tennessee,Nashville,Tennessee 47037,"(36.1712229904, -86.7845944773)","(36.1694, -86.7848)",601222
26,Colorado,Denver,Colorado 08031,"(39.7620283743, -104.876365322)","(39.7611, -104.8772)",600158
27,Kentucky,Louisville,Kentucky 21111,"(38.1777689918, -85.6664099974)","(38.1872, -85.6595)",597337
28,Wisconsin,Milwaukee,Wisconsin 55079,"(43.0641258925, -87.9672412429)","(43.0071, -87.9667)",594833
29,Oregon,Portland,Oregon 41051,"(45.537180654, -122.650032751)","(45.5469, -122.4157)",583776
30,Nevada,Las Vegas,Nevada 32003,"(36.2274148438, -115.262670095)","(36.2145, -115.0187)",583756
31,Oklahoma,Oklahoma City,Oklahoma 40109,"(35.467564288, -97.5137615524)","(35.5515, -97.4072)",579999
32,New Mexico,Albuquerque,New Mexico 35001,"(35.1055025771, -106.647447696)","(35.0515, -106.6702)",545852
33,Arizona,Tucson,Arizona 04023,"(32.1567244483, -110.877085494)","(31.526, -110.8466)",520116
34,California,Fresno,California 06019,"(36.7826786711, -119.794126569)","(36.7584, -119.6503)",494665
35,California,Sacramento,California 06067,"(38.5666321567, -121.468299801)","(38.4542, -121.3384)",466488
36,California,Long Beach,California 06059,"(33.8060144825, -118.160894146)","(33.703, -117.7605)",462257
37,Missouri,Kansas City,Missouri 29095,"(39.1239413971, -94.5541236795)","(39.0085, -94.3461)",459787
38,Arizona,Mesa,Arizona 04021,"(33.4022837359, -111.718721181)","(32.9043, -111.3447)",439041
39,Virginia,Virginia Beach,Virginia 51810,"(36.7534593339, -76.0589579522)","(36.7494, -76.0571)",437994
40,Georgia,Atlanta,Georgia 13121,"(33.7626524683, -84.4231419055)","(33.7903, -84.4669)",420003
41,Colorado,Colorado Springs,Colorado 08041,"(38.8672748077, -104.760664479)","(38.8321, -104.5256)",416427
42,Nebraska,Omaha,Nebraska 31055,"(41.2642309111, -96.0415076441)","(41.2953, -96.1544)",408958
43,North Carolina,Raleigh,North Carolina 37183,"(35.8322080933, -78.6440243809)","(35.7901, -78.6504)",403892
44,Florida,Miami,Florida 12086,"(25.782295897, -80.2215647762)","(25.6171, -80.5682)",399457
45,Ohio,Cleveland,Ohio 39035,"(41.4765345821, -81.6805494865)","(41.4243, -81.6587)",396815
46,Oklahoma,Tulsa,Oklahoma 40143,"(36.1284213425, -95.9036195464)","(36.1211, -95.9414)",391906
47,California,Oakland,California 06075,"(37.790878035, -122.214859257)","(37.7558, -122.4424)",390724
48,Minnesota,Minneapolis,Minnesota 27123,"(44.9635407967, -93.2678345304)","(45.0171, -93.0994)",382578
49,Kansas,Wichita,Kansas 20173,"(37.690561478, -97.3429366807)","(37.6848, -97.4611)",382368
50,Texas,Arlington,Texas 48439,"(32.699836862, -97.125089612)","(32.7704, -97.2919)",365438
51,California,Bakersfield,California 06029,"(35.3513302855, -119.029786003)","(35.3429, -118.7298)",347483
52,Louisiana,New Orleans,Louisiana 22071,"(30.0687009935, -89.9316317895)","(30.0385, -89.9037)",343829
53,California,Anaheim,California 06059,"(33.8389076996, -117.857613481)","(33.703, -117.7605)",336265
54,Florida,Tampa,Florida 12057,"(27.996198041, -82.4450349799)","(27.7786, -82.4146)",335709
55,Colorado,Aurora,Colorado 08031,"(39.7091594781, -104.726526621)","(39.7611, -104.8772)",325078
56,California,Santa Ana,California 06059,"(33.7366948419, -117.881890237)","(33.703, -117.7605)",324528
57,Missouri,St. Louis,Missouri 29510,"(38.6358122615, -90.2451186799)","(38.6358, -90.245)",319294
58,Pennsylvania,Pittsburgh,Pennsylvania 42003,"(40.4396297486, -79.9762614995)","(40.4688, -79.9812)",305704
59,Texas,Corpus Christi,Texas 48355,"(27.7291588337, -97.4019095379)","(27.7232, -97.6289)",305215
60,California,Riverside,California 06059,"(33.9381251685, -117.394845824)","(33.703, -117.7605)",303871
61,Ohio,Cincinnati,Ohio 39061,"(39.1411747124, -84.5060004524)","(39.1954, -84.5426)",296943
62,Kentucky,Lexington,Kentucky 21067,"(38.0423254022, -84.4587259608)","(38.0423, -84.4588)",295803
63,Alaska,Anchorage,Alaska 02020,"(61.149868731, -149.111113424)","(61.1501, -149.1067)",291826
64,California,Stockton,California 06077,"(37.9766322679, -121.311121669)","(37.9345, -121.272)",291707
65,Ohio,Toledo,Ohio 39095,"(41.6637399604, -83.5823818449)","(41.62, -83.6586)",287208
66,Minnesota,St. Paul,Minnesota 27123,"(44.9477402558, -93.1039958305)","(45.0171, -93.0994)",285068
67,New Jersey,Newark,New Jersey 34013,"(40.7260693449, -74.1752997118)","(40.69, -74.1293)",277140
68,North Carolina,Greensboro,North Carolina 37081,"(36.0960480415, -79.8276833061)","(36.0794, -79.789)",269666
69,New York,Buffalo,New York 36029,"(42.9014518233, -78.8475237264)","(42.7621, -78.7308)",261310
70,Texas,Plano,Texas 48085,"(33.0502149278, -96.7486409797)","(33.1878, -96.5724)",259841
71,Nebraska,Lincoln,Nebraska 31109,"(40.8096195695, -96.6806742049)","(40.7841, -96.6878)",258379
72,Nevada,Henderson,Nevada 32003,"(36.0122394916, -115.037392161)","(36.2145, -115.0187)",257729
73,Indiana,Fort Wayne,Indiana 18003,"(41.0884920417, -85.1435898792)","(41.0908, -85.0665)",253691
74,New Jersey,Jersey City,New Jersey 34017,"(40.7188130852, -74.0687740635)","(40.7409, -74.0778)",247597
75,Florida,St. Petersburg,Florida 12103,"(27.792894971, -82.6650743239)","(27.928, -82.722)",244769
76,California,Chula Vista,California 06073,"(32.6282964262, -117.010042407)","(33.0354, -116.7335)",243916
77,Virginia,Norfolk,Virginia 51710,"(36.8932863006, -76.2567157761)","(36.8966, -76.2552)",242803
78,Florida,Orlando,Florida 12095,"(28.4800646771, -81.3452411179)","(28.5148, -81.3238)",238300
79,Arizona,Chandler,Arizona 04013,"(33.28318981, -111.852210033)","(33.3488, -112.4912)",236123
80,Texas,Laredo,Texas 48479,"(27.5482572475, -99.4867797312)","(27.7611, -99.3316)",236091
81,Wisconsin,Madison,Wisconsin 55025,"(43.0809865694, -89.3915106344)","(43.0674, -89.4183)",233209
82,North Carolina,Winston-Salem,North Carolina 37067,"(36.1029453039, -80.2609889241)","(36.1304, -80.2563)",229617
83,Texas,Lubbock,Texas 48303,"(33.5666251178, -101.886335663)","(33.6102, -101.8205)",229573
84,Louisiana,Baton Rouge,Louisiana 22033,"(30.4510891679, -91.1263551997)","(30.5383, -91.0957)",229493
85,North Carolina,Durham,North Carolina 37063,"(35.9809147402, -78.9059161097)","(36.0359, -78.8764)",228330
86,Texas,Garland,Texas 48397,"(32.9100799867, -96.6304258603)","(32.8978, -96.4077)",226876
87,Arizona,Glendale,Arizona 04013,"(33.5796123089, -112.225306421)","(33.3488, -112.4912)",226721
88,Nevada,Reno,Nevada 32029,"(39.5540171998, -119.852733516)","(39.4466, -119.5291)",225221
89,Florida,Hialeah,Florida 12011,"(25.869626948, -80.3045294666)","(26.1519, -80.4886)",224669
90,Virginia,Chesapeake,Virginia 51550,"(36.6777521118, -76.3024325925)","(36.6778, -76.3024)",222209
91,Arizona,Scottsdale,Arizona 04013,"(33.6872493651, -111.865085877)","(33.3488, -112.4912)",217385
92,Nevada,North Las Vegas,Nevada 32003,"(36.2891993562, -115.088496088)","(36.2145, -115.0187)",216961
93,Texas,Irving,Texas 48113,"(32.8583808131, -96.9703058323)","(32.7666, -96.7779)",216290
94,California,Fremont,California 06001,"(37.5278685405, -121.984121512)","(37.6466, -121.886)",214089
95,California,Irvine,California 06059,"(33.6780108904, -117.773633283)","(33.703, -117.7605)",212375
