state,deaths,num_locations
Alabama,3887.44038,2
Alaska,26.9770926,1
Arizona,8179.389396,4
Arkansas,1874.099218,1
California,21891.19507,13
Colorado,1144.073843,2
Connecticut,1815.298448,1
Delaware,152.9044056,1
District of Columbia,160.8874772,1
Florida,6348.510435,6
Georgia,3922.865614,1
Hawaii,43.96689344,1
Idaho,151.576353,1
Illinois,2673.108274,1
Indiana,2182.356014,2
Iowa,1929.688212,1
Kansas,864.8327798,1
Kentucky,1275.599548,2
Louisiana,2717.651561,2
Maine,131.5421912,1
Maryland,1870.413144,1
Massachusetts,3922.211222,2
Michigan,2734.818369,2
Minnesota,688.0120458,1
Mississippi,970.8663532,1
Missouri,1685.144328,2
Montana,88.21013524,1
Nebraska,148.1530021,2
Nevada,1642.10696,4
New Hampshire,275.693974,1
New Jersey,4908.611864,2
New Mexico,1059.774089,1
New York,14878.6856,3
North Carolina,2583.04993,2
North Dakota,91.95752837,1
Ohio,2266.491685,2
Oklahoma,1833.80653,1
Oregon,492.3113215,1
Pennsylvania,7778.653826,2
Rhode Island,526.7183059,1
South Carolina,1470.099673,1
South Dakota,207.039093,1
Tennessee,3155.037406,2
Texas,16951.19395,6
Utah,1101.399743,1
Vermont,167.2390621,1
Virginia,1280.395401,3
Washington,1348.806623,3
West Virginia,561.6080397,1
Wisconsin,1283.754712,2
Wyoming,326.5695417,1
