state,deaths
Alabama,4035.210973
Alaska,28.93252969
Arizona,9294.429805
Arkansas,1993.089839
California,22005.93152
Colorado,1603.08839
Connecticut,1926.80822
Delaware,184.2950077
District of Columbia,218.9112215
Florida,8083.990706
Georgia,3970.156911
Hawaii,48.26906254
Idaho,170.82687
Illinois,2693.212969
Indiana,2252.55783
Iowa,2440.823746
Kansas,871.2473978
Kentucky,1302.878815
Louisiana,3109.649392
Maine,143.9819436
Maryland,2133.134026
Massachusetts,4129.260905
Michigan,2739.22448
Minnesota,691.866436
Mississippi,1173.719152
Missouri,1735.240103
Montana,117.3366026
Nebraska,184.6827864
Nevada,1747.9712
New Hampshire,302.1512359
New Jersey,5435.957673
New Mexico,1123.813065
New York,15713.85349
North Carolina,2668.760255
North Dakota,92.67771763
Ohio,2289.334368
Oklahoma,1971.48705
Oregon,604.6835437
Pennsylvania,7835.463816
Rhode Island,560.7745958
South Carolina,1647.415382
South Dakota,293.4037934
Tennessee,3179.887716
Texas,21044.3738
Utah,1761.033137
Vermont,369.3700875
Virginia,1618.787979
Washington,1471.31793
West Virginia,698.2357184
Wisconsin,1307.911282
Wyoming,545.4188267
