,state,num_locations,deaths
0,Alabama,1.0,3928.803012745251
1,Alaska,1.0,27.196128314971734
2,Arizona,5.0,8046.321583057785
3,Arkansas,2.0,1849.9092733143284
4,California,10.0,21931.75950993764
5,Colorado,2.0,1153.5178334916372
6,Connecticut,1.0,1803.7285797738093
7,Delaware,1.0,156.61963877890284
8,District of Columbia,1.0,167.64960652912964
9,Florida,9.0,5918.056204542668
10,Georgia,1.0,3926.0139174684996
11,Hawaii,1.0,44.64709550865988
12,Idaho,1.0,154.3024540732739
13,Illinois,1.0,2677.6362241977295
14,Indiana,2.0,2193.7600811247635
15,Iowa,2.0,1700.854361627065
16,Kansas,1.0,866.056714976483
17,Kentucky,1.0,1288.9225362474056
18,Louisiana,2.0,2686.354529291717
19,Maine,1.0,133.67368525375815
20,Maryland,1.0,1823.6246668826543
21,Massachusetts,1.0,3977.04090810073
22,Michigan,1.0,2737.4548745312004
23,Minnesota,1.0,688.7728043019226
24,Mississippi,1.0,951.5019652700806
25,Missouri,1.0,1709.6362673323192
26,Montana,1.0,91.61682034826094
27,Nebraska,1.0,160.1800188492135
28,Nevada,1.0,1700.220915813228
29,New Hampshire,1.0,279.7163580151193
30,New Jersey,4.0,4625.538020930232
31,New Mexico,2.0,1049.5289065830825
32,New York,8.0,13967.732387147262
33,North Carolina,1.0,2633.1495183341044
34,North Dakota,1.0,92.04956556880491
35,Ohio,1.0,2279.9534835586046
36,Oklahoma,1.0,1817.5804113261606
37,Oregon,1.0,497.48194465383415
38,Pennsylvania,1.0,7812.831851199975
39,Rhode Island,1.0,530.9382372923699
40,South Carolina,2.0,1378.066563780153
41,South Dakota,1.0,217.03654276742475
42,Tennessee,1.0,3168.7947109126617
43,Texas,11.0,15135.589312223447
44,Utah,2.0,978.7679542373642
45,Vermont,1.0,184.3676336815574
46,Virginia,1.0,1428.0276939072958
47,Washington,1.0,1414.0932867152494
48,West Virginia,1.0,580.1724798637737
49,Wisconsin,1.0,1295.4058929980836
50,Wyoming,1.0,345.59937055716864
