State,Locations
Alabama,1
Alaska,1
Arizona,3
Arkansas,1
California,5
Colorado,3
Connecticut,1
Delaware,1
District of Columbia,1
Florida,7
Georgia,2
Hawaii,1
Idaho,1
Illinois,1
Indiana,2
Iowa,3
Kansas,1
Kentucky,1
Louisiana,3
Maine,1
Maryland,1
Massachusetts,2
Michigan,1
Minnesota,1
Mississippi,2
Missouri,1
Montana,1
Nebraska,1
Nevada,1
New Hampshire,1
New Jersey,5
New Mexico,2
New York,7
North Carolina,1
North Dakota,1
Ohio,2
Oklahoma,2
Oregon,1
Pennsylvania,1
Rhode Island,1
South Carolina,3
South Dakota,1
Tennessee,1
Texas,11
Utah,3
Vermont,1
Virginia,1
Washington,1
West Virginia,1
Wisconsin,1
Wyoming,1
