,state,num_locations,vac_distributions,total_deaths
0,Alabama,2,1760000,4770.676765548857
1,Alaska,1,880000,27.183839768836844
2,Arizona,4,3520000,9372.409475155764
3,Arkansas,1,880000,2296.760073608235
4,California,13,11440000,26506.401715647327
5,Colorado,2,1760000,1187.6734341700846
6,Connecticut,1,880000,1994.8213286074824
7,Delaware,1,880000,155.34561126098296
8,District of Columbia,1,880000,164.71185214263346
9,Florida,6,5280000,6452.802673259463
10,Georgia,1,880000,4827.726524376903
11,Hawaii,1,880000,44.12891301298728
12,Idaho,1,880000,151.96094449751251
13,Illinois,1,880000,2784.249192139633
14,Indiana,2,1760000,2523.5192475409713
15,Iowa,1,880000,2040.2360002481032
16,Kansas,1,880000,887.1832259376972
17,Kentucky,2,1760000,1551.502668192152
18,Louisiana,2,1760000,3148.6198349810848
19,Maine,1,880000,131.56477687128154
20,Maryland,1,880000,1888.0861477934052
21,Massachusetts,2,1760000,4557.7196859382275
22,Michigan,2,1760000,3253.500817659633
23,Minnesota,1,880000,745.8626588998899
24,Mississippi,1,880000,973.7200344726043
25,Missouri,2,1760000,2064.244419090628
26,Montana,1,880000,88.34755285764788
27,Nebraska,2,1760000,148.51129389161835
28,Nevada,4,3520000,1998.6378116977628
29,New Hampshire,1,880000,279.9252641700076
30,New Jersey,2,1760000,5600.570646199972
31,New Mexico,1,880000,1301.7135794656735
32,New York,3,2640000,18287.398059266277
33,North Carolina,2,1760000,2681.9874474035546
34,North Dakota,1,880000,97.90722989906003
35,Ohio,2,1760000,2496.874936084563
36,Oklahoma,1,880000,2268.438586635586
37,Oregon,1,880000,500.7310151276455
38,Pennsylvania,2,1760000,9016.252493910546
39,Rhode Island,1,880000,606.5532098842353
40,South Carolina,1,880000,1477.404787925038
41,South Dakota,1,880000,208.74874711250305
42,Tennessee,2,1760000,3820.3298422162684
43,Texas,6,5280000,17878.475640662506
44,Utah,1,880000,1153.7130995411171
45,Vermont,1,880000,210.361051957747
46,Virginia,3,2640000,1280.575932398182
47,Washington,3,2640000,1698.438153517546
48,West Virginia,1,880000,565.6502126453784
49,Wisconsin,2,1760000,1520.3145537190026
50,Wyoming,1,880000,408.9112865675003
