,state,num_locations,vac_distributions,total_deaths
0,Alabama,2,1760000,4770.500758525564
1,Alaska,1,880000,27.183691726629544
2,Arizona,4,3520000,9364.84171821173
3,Arkansas,1,880000,2295.8752976808387
4,California,13,11440000,26506.394319822193
5,Colorado,2,1760000,1185.6904237371878
6,Connecticut,1,880000,1994.5102820133534
7,Delaware,1,880000,155.29164693143116
8,District of Columbia,1,880000,164.63764398900742
9,Florida,6,5280000,6439.829871201864
10,Georgia,1,880000,4827.636659523776
11,Hawaii,1,880000,44.12861648206115
12,Idaho,1,880000,151.95393145813873
13,Illinois,1,880000,2784.2451153810416
14,Indiana,2,1760000,2523.332530372055
15,Iowa,1,880000,2034.6488151260905
16,Kansas,1,880000,887.1830482664012
17,Kentucky,2,1760000,1551.4792805901109
18,Louisiana,2,1760000,3146.3548449261393
19,Maine,1,880000,131.56256408633817
20,Maryland,1,880000,1887.2954584835393
21,Massachusetts,2,1760000,4557.072226580923
22,Michigan,2,1760000,3253.50060586712
23,Minnesota,1,880000,745.8617517395953
24,Mississippi,1,880000,973.2714067229226
25,Missouri,2,1760000,2064.1209116966575
26,Montana,1,880000,88.3289526043487
27,Nebraska,2,1760000,148.49238758124034
28,Nevada,4,3520000,1998.530105329091
29,New Hampshire,1,880000,279.91133948118096
30,New Jersey,2,1760000,5596.766377829747
31,New Mexico,1,880000,1301.4254845722746
32,New York,3,2640000,18280.57849352095
33,North Carolina,2,1760000,2681.904310935215
34,North Dakota,1,880000,97.90714543486148
35,Ohio,2,1760000,2496.8632909857665
36,Oklahoma,1,880000,2267.3545164041325
37,Oregon,1,880000,500.550833715517
38,Pennsylvania,2,1760000,9016.229378492219
39,Rhode Island,1,880000,606.4634671935736
40,South Carolina,1,880000,1476.82756297983
41,South Dakota,1,880000,208.59738047544658
42,Tennessee,2,1760000,3820.321045560285
43,Texas,6,5280000,17834.644220523223
44,Utah,1,880000,1101.2867869120616
45,Vermont,1,880000,208.45534129426522
46,Virginia,3,2640000,1279.5830602163203
47,Washington,3,2640000,1697.937868130447
48,West Virginia,1,880000,565.2970471333931
49,Wisconsin,2,1760000,1520.2835556326338
50,Wyoming,1,880000,405.20167290909427
