,state,num_locations,vac_distributions,total_deaths
0,Alabama,1.0,880000.0,4853.657002182272
1,Alaska,1.0,880000.0,27.183691726629544
2,Arizona,2.0,1760000.0,9817.830576614739
3,Arkansas,1.0,880000.0,2295.8752976808387
4,California,12.0,10560000.0,26515.669292900428
5,Colorado,1.0,880000.0,1352.8731657576318
6,Connecticut,1.0,880000.0,1994.5102820133534
7,Delaware,1.0,880000.0,155.29164693143116
8,District of Columbia,1.0,880000.0,164.63764398900742
9,Florida,6.0,5280000.0,6439.829871201864
10,Georgia,3.0,2640000.0,4726.502399153884
11,Hawaii,1.0,880000.0,44.12861648206115
12,Idaho,1.0,880000.0,151.95393145813873
13,Illinois,4.0,3520000.0,2735.799463542696
14,Indiana,2.0,1760000.0,2523.332530372055
15,Iowa,1.0,880000.0,2034.6488151260905
16,Kansas,1.0,880000.0,887.1830482664012
17,Kentucky,1.0,880000.0,1566.3455344448503
18,Louisiana,1.0,880000.0,3333.9432804238054
19,Maine,1.0,880000.0,131.56256408633817
20,Maryland,1.0,880000.0,1887.2954584835393
21,Massachusetts,2.0,1760000.0,4557.072226580923
22,Michigan,3.0,2640000.0,3250.997731857259
23,Minnesota,1.0,880000.0,745.8617517395953
24,Mississippi,1.0,880000.0,973.2714067229226
25,Missouri,1.0,880000.0,2096.3915502286322
26,Montana,1.0,880000.0,88.3289526043487
27,Nebraska,1.0,880000.0,156.99969645781678
28,Nevada,1.0,880000.0,2070.7893997449087
29,New Hampshire,1.0,880000.0,279.91133948118096
30,New Jersey,2.0,1760000.0,5596.766377829747
31,New Mexico,1.0,880000.0,1301.4254845722746
32,New York,6.0,5280000.0,17491.394733530924
33,North Carolina,3.0,2640000.0,2647.095119398949
34,North Dakota,1.0,880000.0,97.90714543486148
35,Ohio,3.0,2640000.0,2485.882377716469
36,Oklahoma,1.0,880000.0,2267.3545164041325
37,Oregon,1.0,880000.0,500.550833715517
38,Pennsylvania,4.0,3520000.0,8956.106747591979
39,Rhode Island,1.0,880000.0,606.4634671935736
40,South Carolina,1.0,880000.0,1476.82756297983
41,South Dakota,1.0,880000.0,208.59738047544658
42,Tennessee,2.0,1760000.0,3820.321045560285
43,Texas,8.0,7040000.0,17053.41217012163
44,Utah,1.0,880000.0,1101.2867869120616
45,Vermont,1.0,880000.0,208.45534129426522
46,Virginia,2.0,1760000.0,1354.7695174036844
47,Washington,2.0,1760000.0,1744.9730451602973
48,West Virginia,1.0,880000.0,565.2970471333931
49,Wisconsin,1.0,880000.0,1533.6959010031553
50,Wyoming,1.0,880000.0,405.20167290909427
