,state,num_locations,vac_distributions,total_deaths
0,Alabama,2,0,4998.903342371075
1,Alaska,1,0,29.24530083883836
2,Arizona,4,0,11079.920792530746
3,Arkansas,1,0,2510.70505318387
4,California,13,0,26666.518184329118
5,Colorado,2,0,1781.7723503511006
6,Connecticut,1,0,2139.641171739152
7,Delaware,1,0,191.13986662433166
8,District of Columbia,1,0,234.6020140537746
9,Florida,6,0,8425.199409743549
10,Georgia,1,0,4901.266256094818
11,Hawaii,1,0,48.643671372431406
12,Idaho,1,0,171.87784886629478
13,Illinois,1,0,2808.525085407818
14,Indiana,2,0,2637.880459185235
15,Iowa,1,0,2637.745570459655
16,Kansas,1,0,894.1152674313523
17,Kentucky,2,0,1593.9548295959466
18,Louisiana,2,0,3788.381392936164
19,Maine,1,0,144.04109112844384
20,Maryland,1,0,2166.044964089024
21,Massachusetts,2,0,4869.97129195648
22,Michigan,2,0,3259.9449523794588
23,Minnesota,1,0,751.2755908809007
24,Mississippi,1,0,1184.1978561443825
25,Missouri,2,0,2156.8337764577946
26,Montana,1,0,119.08663536820455
27,Nebraska,2,0,187.37762138405492
28,Nevada,4,0,2167.0745021496045
29,New Hampshire,1,0,308.493045187947
30,New Jersey,2,0,6458.586036079112
31,New Mexico,1,0,1422.887566654782
32,New York,3,0,19713.9024250187
33,North Carolina,2,0,2779.7600458550246
34,North Dakota,1,0,98.77978170031886
35,Ohio,2,0,2527.2361546883503
36,Oklahoma,1,0,2515.993011130676
37,Oregon,1,0,627.7611527767351
38,Pennsylvania,2,0,9097.401725265576
39,Rhode Island,1,0,656.1397795807414
40,South Carolina,1,0,1664.283385183448
41,South Dakota,1,0,304.67453183654504
42,Tennessee,2,0,3856.358966109968
43,Texas,6,0,23156.778151697727
44,Utah,1,0,1903.5590427509053
45,Vermont,1,0,667.2136091847517
46,Virginia,3,0,1619.472129187264
47,Washington,3,0,1949.6165714164508
48,West Virginia,1,0,716.4124082027854
49,Wisconsin,2,0,1559.6168960073305
50,Wyoming,1,0,841.8911051886624
