Location,fips,location_indicator,city_geolocation,county_geolocation
"New York, New York",New York 36047,1,"(40.694960689, -73.9313850409)","(40.6447, -73.9472)"
"California, Los Angeles",California 06037,0,"(34.1182277898, -118.408500088)","(34.3203, -118.2252)"
"Illinois, Chicago",Illinois 17031,0,"(41.8372950615, -87.6862308732)","(41.8399, -87.8167)"
"Texas, Houston",Texas 48201,1,"(29.7806691396, -95.3860033966)","(29.8588, -95.3963)"
"Pennsylvania, Philadelphia",Pennsylvania 42101,0,"(40.0093147808, -75.1333888571)","(40.0076, -75.1338)"
"Arizona, Phoenix",Arizona 04013,0,"(33.5724138695, -112.088995222)","(33.3488, -112.4912)"
"Texas, San Antonio",Texas 48029,1,"(29.4721475333, -98.5246763525)","(29.4491, -98.5199)"
"California, San Diego",California 06073,0,"(32.8355639418, -117.119792061)","(33.0354, -116.7335)"
"Texas, Dallas",Texas 48113,0,"(32.7939804066, -96.7656929463)","(32.7666, -96.7779)"
"Hawaii, Honolulu",Hawaii 15003,1,"(21.4588039305, -157.973296737)","(21.4625, -157.9765)"
"California, San Jose",California 06085,0,"(37.3003963176, -121.847228423)","(37.2325, -121.6963)"
"Florida, Jacksonville",Florida 12031,1,"(30.3319820139, -81.6752266207)","(30.3302, -81.674)"
"Indiana, Indianapolis",Indiana 18097,1,"(39.7771221075, -86.145782152)","(39.7816, -86.1384)"
"California, San Francisco",California 06075,0,"(37.7559136611, -122.440987876)","(37.7558, -122.4424)"
"Texas, Austin",Texas 48453,1,"(30.3068610342, -97.7554771245)","(30.3347, -97.7819)"
"Ohio, Columbus",Ohio 39049,1,"(39.9859500484, -82.9851738516)","(39.9696, -83.0093)"
"Texas, Fort Worth",Texas 48439,0,"(32.780192804, -97.3470323225)","(32.7704, -97.2919)"
"North Carolina, Charlotte",North Carolina 37119,1,"(35.2078721969, -80.8300754645)","(35.2468, -80.8328)"
"Michigan, Detroit",Michigan 26163,0,"(42.3847015631, -83.1053178776)","(42.284, -83.2865)"
"Texas, El Paso",Texas 48141,1,"(31.8481123506, -106.432021874)","(31.7686, -106.2348)"
"Tennessee, Memphis",Tennessee 47157,1,"(35.1046295042, -89.978906085)","(35.1837, -89.8956)"
"Maryland, Baltimore",Maryland 24510,1,"(39.3084523991, -76.6160492311)","(39.2531, -76.5758)"
