,state,num_locations,vac_distributions,total_deaths
0,Alabama,2.0,790986.0862252382,4767.959772053373
1,Alaska,1.0,81222.83518980541,28.687016115373453
2,Arizona,2.0,4427838.897304317,9029.218058477763
3,Arkansas,2.0,723896.7333789314,2278.52253454041
4,California,7.0,571460.3537387205,26657.371953606587
5,Colorado,1.0,5143257.177445101,1168.0496441601
6,Connecticut,1.0,586032.0288063828,1959.1492330390051
7,Delaware,1.0,242671.5703199062,178.12737977982832
8,District of Columbia,1.0,198738.06276378233,194.72470454005094
9,Florida,6.0,16360275.790100101,5907.692190612028
10,Georgia,3.0,639601.2056026862,4830.694728095087
11,Hawaii,1.0,80373.73737373535,47.94983380663289
12,Idaho,1.0,98014.49046573015,168.4079799216995
13,Illinois,2.0,163084.3149803285,2803.995621690012
14,Indiana,2.0,1618351.5086571649,2584.648548782211
15,Iowa,2.0,796959.3931991563,1716.7504404322215
16,Kansas,2.0,160564.7382920097,892.6027543099717
17,Kentucky,2.0,261686.20275054692,1587.388001788914
18,Louisiana,2.0,3668050.897912002,3044.014754728383
19,Maine,1.0,80464.64646464412,142.4714973059277
20,Maryland,1.0,1752470.5472169335,1629.4859823922086
21,Massachusetts,1.0,1656065.1589708207,4516.56783863604
22,Michigan,2.0,168196.70783892024,3259.3226906509567
23,Minnesota,1.0,81974.44556677892,750.67944951623
24,Mississippi,1.0,720351.871820909,928.0607040181458
25,Missouri,3.0,1824523.0332273892,2113.927351427501
26,Montana,1.0,325539.0809707836,108.24052500846655
27,Nebraska,1.0,257119.29710658424,178.61242025938884
28,Nevada,2.0,782926.9224792947,2095.2302633110485
29,New Hampshire,1.0,104601.36832105683,303.5489665075294
30,New Jersey,2.0,6963393.106477896,5126.767768566538
31,New Mexico,1.0,514426.59047938325,1335.2559157468881
32,New York,4.0,5263020.168662328,16396.63025929989
33,North Carolina,2.0,353244.56168722955,2765.1105281369223
34,North Dakota,1.0,84421.52921899754,98.52324804618785
35,Ohio,3.0,241010.10101010004,2522.670083438144
36,Oklahoma,2.0,834018.9251771881,2218.1830341004506
37,Oregon,2.0,1661289.1397793458,504.2374488816223
38,Pennsylvania,3.0,242448.23035698902,9085.725232370309
39,Rhode Island,1.0,155170.81436315563,634.8094288773708
40,South Carolina,1.0,1277612.3262139955,1391.9255566737845
41,South Dakota,1.0,181837.9753004295,241.0208109585277
42,Tennessee,3.0,241403.03030302958,3850.383355349199
43,Texas,7.0,18100823.457102183,14427.691171830473
44,Utah,1.0,1064308.3712788483,950.3243239932847
45,Vermont,1.0,570325.757012083,256.21898553513364
46,Virginia,3.0,1538700.1985815242,1323.0871772416324
47,Washington,2.0,3038206.855340562,1787.7494661075375
48,West Virginia,1.0,505563.5217366022,586.3605323565977
49,Wisconsin,2.0,511348.4660974014,1551.9386924808375
50,Wyoming,1.0,290127.7693309185,447.84986306631436
