,state,num_locations,vac_distributions,total_deaths
0,Alabama,1.0,791179.7255405311,4767.983076708392
1,Alaska,1.0,82105.6001010101,28.686524232851305
2,Arizona,4.0,4575878.106566142,9028.063330090848
3,Arkansas,1.0,676220.7294274978,2277.813293141397
4,California,14.0,1141492.0337252617,26648.243116997943
5,Colorado,1.0,5351457.894640528,1168.754541022192
6,Connecticut,1.0,588394.038207687,1959.4029462011692
7,Delaware,1.0,339787.86250153324,178.05090615952048
8,District of Columbia,1.0,181076.64911340916,194.9300417277122
9,Florida,6.0,8801786.495643571,5909.46850955474
10,Georgia,4.0,711471.5271505357,4829.715398492792
11,Hawaii,1.0,84652.00159522687,47.94884453366786
12,Idaho,1.0,94704.93712485352,168.42495916199903
13,Illinois,1.0,143308.80417648208,2806.2500287461976
14,Indiana,1.0,1754758.1253591338,2588.739408432201
15,Iowa,1.0,757790.0190966204,1715.2936385519934
16,Kansas,1.0,81689.57667584941,893.3570489648903
17,Kentucky,1.0,230043.74957034807,1590.2957184102183
18,Louisiana,1.0,3492229.460113195,3045.670832628009
19,Maine,1.0,88204.40038768995,142.46768358334597
20,Maryland,1.0,1858660.355122843,1629.3131450651347
21,Massachusetts,1.0,1815687.6910035368,4516.358759451812
22,Michigan,1.0,81579.38383838386,3259.6306313908526
23,Minnesota,1.0,131402.74938683986,750.6774408310048
24,Mississippi,1.0,740016.9981246204,927.9438601466925
25,Missouri,1.0,2577303.019555673,2121.500565332254
26,Montana,1.0,321262.2793462787,108.21922111728006
27,Nebraska,1.0,282512.6497059341,178.62535989274753
28,Nevada,1.0,697708.6872675514,2095.237759455694
29,New Hampshire,1.0,107549.69362276816,303.54732537694997
30,New Jersey,2.0,6969561.418229452,5128.343168937542
31,New Mexico,1.0,513234.8329523473,1335.3482540376472
32,New York,7.0,6518495.923850108,16397.044793836012
33,North Carolina,3.0,576635.1040418118,2756.654476338461
34,North Dakota,1.0,81460.04454545456,98.52296478865297
35,Ohio,2.0,207804.02896498085,2524.180468465851
36,Oklahoma,1.0,1380169.2835563645,2215.304935663144
37,Oregon,1.0,1803988.763580944,506.8109329672634
38,Pennsylvania,3.0,346892.6467679502,9085.718031511817
39,Rhode Island,1.0,176707.00409536855,634.797249654755
40,South Carolina,2.0,1372677.6419884926,1391.9180949700117
41,South Dakota,1.0,530896.7395420505,240.98512091324733
42,Tennessee,2.0,165659.37311232527,3852.363030278649
43,Texas,11.0,19708278.804105837,14424.06069132637
44,Utah,1.0,1067615.842762555,950.2412694473912
45,Vermont,1.0,591632.8811103606,256.3477297089901
46,Virginia,2.0,2385838.606051775,1323.0844350061984
47,Washington,1.0,3098569.28649998,1786.7546106991051
48,West Virginia,1.0,531316.435542364,586.642532187239
49,Wisconsin,1.0,1097368.9671577024,1554.4167007384187
50,Wyoming,1.0,293281.12785015884,447.40452610480304
