,state,num_locations,vac_distributions,total_deaths
0,Alabama,1.0,880000.0,4855.750556240902
1,Alaska,1.0,880000.0,27.248954599842342
2,Arizona,5.0,4400000.0,9286.688688758895
3,Arkansas,1.0,880000.0,2300.808574372837
4,California,1.0,880000.0,26652.16033694973
5,Colorado,2.0,1760000.0,1199.2212829853165
6,Connecticut,1.0,880000.0,1997.4637106626046
7,Delaware,1.0,880000.0,156.5276520888141
8,District of Columbia,1.0,880000.0,167.00378232041203
9,Florida,9.0,7920000.0,6059.290958989792
10,Georgia,1.0,880000.0,4827.851222942742
11,Hawaii,1.0,880000.0,44.23044345590299
12,Idaho,1.0,880000.0,152.41186523715365
13,Illinois,1.0,880000.0,2784.2859858507836
14,Indiana,1.0,880000.0,2563.738671744272
15,Iowa,2.0,1760000.0,1841.1780332115218
16,Kansas,1.0,880000.0,887.2909521494387
17,Kentucky,1.0,880000.0,1566.805237112404
18,Louisiana,3.0,2640000.0,3054.755106575374
19,Maine,1.0,880000.0,131.82108821591038
20,Maryland,1.0,880000.0,1891.697211963902
21,Massachusetts,2.0,1760000.0,4564.010485778526
22,Michigan,1.0,880000.0,3256.5495716207306
23,Minnesota,1.0,880000.0,745.9501084011197
24,Mississippi,1.0,880000.0,978.1039774052507
25,Missouri,1.0,880000.0,2097.4335226214516
26,Montana,1.0,880000.0,89.09403352966089
27,Nebraska,1.0,880000.0,157.72854563068157
28,Nevada,1.0,880000.0,2072.838181173577
29,New Hampshire,1.0,880000.0,280.57002077232283
30,New Jersey,4.0,3520000.0,5274.560134428761
31,New Mexico,1.0,880000.0,1304.1125021780101
32,New York,9.0,7920000.0,17050.752936496014
33,North Carolina,1.0,880000.0,2726.975591530919
34,North Dakota,1.0,880000.0,97.94712300317403
35,Ohio,1.0,880000.0,2510.865203068822
36,Oklahoma,1.0,880000.0,2273.1523837060254
37,Oregon,1.0,880000.0,503.2012863030525
38,Pennsylvania,1.0,880000.0,9055.188466673007
39,Rhode Island,1.0,880000.0,608.4785334924405
40,South Carolina,2.0,1760000.0,1386.3471024653961
41,South Dakota,1.0,880000.0,212.72778591026724
42,Tennessee,1.0,880000.0,3835.627770751865
43,Texas,19.0,16720000.0,14975.197867896932
44,Utah,2.0,1760000.0,952.9722759579913
45,Vermont,1.0,880000.0,213.95218588070765
46,Virginia,2.0,1760000.0,1359.8769314569877
47,Washington,1.0,880000.0,1820.2367354913113
48,West Virginia,1.0,880000.0,568.9851707942256
49,Wisconsin,1.0,880000.0,1534.174018293997
50,Wyoming,1.0,880000.0,415.0437076083728
